Entity,Day,Average Confirmed Daily Cases of Monkeypox
Africa,1/1/2025,79.71
Africa,1/2/2025,79.71
Africa,1/3/2025,79.71
Africa,1/4/2025,79.71
Africa,1/5/2025,112.57
Africa,1/6/2025,112.57
Africa,1/7/2025,112.57
Africa,1/8/2025,112.57
Africa,1/9/2025,112.57
Africa,1/10/2025,112.57
Andorra,1/1/2025,0
Andorra,1/2/2025,0
Andorra,1/3/2025,0
Andorra,1/4/2025,0
Andorra,1/5/2025,0
Andorra,1/6/2025,0
Andorra,1/7/2025,0
Andorra,1/8/2025,0
Andorra,1/9/2025,0
Andorra,1/10/2025,0
Angola,1/1/2025,0
Angola,1/2/2025,0
Angola,1/3/2025,0
Angola,1/4/2025,0
Angola,1/5/2025,0
Angola,1/6/2025,0
Angola,1/7/2025,0
Angola,1/8/2025,0
Angola,1/9/2025,0
Angola,1/10/2025,0
Argentina,1/1/2025,0.43
Argentina,1/2/2025,0.43
Argentina,1/3/2025,0.43
Argentina,1/4/2025,0.43
Argentina,1/5/2025,0.43
Argentina,1/6/2025,0
Argentina,1/7/2025,0
Argentina,1/8/2025,0
Argentina,1/9/2025,0
Argentina,1/10/2025,0
Aruba,1/1/2025,0
Aruba,1/2/2025,0
Aruba,1/3/2025,0
Aruba,1/4/2025,0
Aruba,1/5/2025,0
Aruba,1/6/2025,0
Aruba,1/7/2025,0
Aruba,1/8/2025,0
Aruba,1/9/2025,0
Aruba,1/10/2025,0
Asia,1/1/2025,6.57
Asia,1/2/2025,5.57
Asia,1/3/2025,5.57
Asia,1/4/2025,5.57
Asia,1/5/2025,5.57
Asia,1/6/2025,5.57
Asia,1/7/2025,0.14
Asia,1/8/2025,4.86
Asia,1/9/2025,4.86
Asia,1/10/2025,8.57
Australia,1/1/2025,5.29
Australia,1/2/2025,5.29
Australia,1/3/2025,5.29
Australia,1/4/2025,5.29
Australia,1/5/2025,6.71
Australia,1/6/2025,6.71
Australia,1/7/2025,3.29
Australia,1/8/2025,3.29
Australia,1/9/2025,3.29
Australia,1/10/2025,3.29
Austria,1/1/2025,0.57
Austria,1/2/2025,0.57
Austria,1/3/2025,0.57
Austria,1/4/2025,0.57
Austria,1/5/2025,0.57
Austria,1/6/2025,0.57
Austria,1/7/2025,0
Austria,1/8/2025,0
Austria,1/9/2025,0
Austria,1/10/2025,0.14
Azerbaijan,1/10/2025,0.14
Bahamas,1/1/2025,0
Bahamas,1/2/2025,0
Bahamas,1/3/2025,0
Bahamas,1/4/2025,0
Bahamas,1/5/2025,0
Bahamas,1/6/2025,0
Bahamas,1/7/2025,0
Bahamas,1/8/2025,0
